type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.131076149,0.076002432,0.045989124,0.081242401,0.048749779,0.197462602,0.094944164,0.095497303,0.162795533,0.083060008,0.139618603,0.074676715,0.060438141,0.08647766,0.104279072,0.0900276,0.329565482,0.236278802,0.401664987,0.242634792,0.135600004,0.272678152,0.066927883,0.332919696,0.079126512,0.213827651,0.266446384,0.124779778,0.29341131,0.24464866,0.086496042,0.317723935
0,0.175639668,0.328175686,0.251135319,0.375534601,0.272105034,0.303012526,0.251285063,0.199268916,0.214396903,0.208294408,0.219843471,0.260295529,0.314530868,0.222868804,0.241218402,0.279462058,0.152946008,0.113785717,0.170818772,0.115907988,0.199593131,0.193971683,0.152981325,0.167566895,0.192092293,0.169263542,0.117708188,0.143269363,0.171840357,0.175567213,0.187439991,0.140523477
0,0.124770036,0.108809415,0.128489233,0.142900286,0.118904998,0.165446279,0.107165197,0.147892943,0.097904653,0.115337245,0.142079433,0.122107982,0.10922958,0.115531043,0.106186111,0.110066572,0.106213914,0.110716814,0.121190945,0.135711268,0.163878396,0.141668507,0.142995823,0.131714402,0.073637982,0.072239522,0.079167185,0.115955722,0.394117378,0.304498563,0.154087704,0.105427285
0,0.131161532,0.093171662,0.120588802,0.130755071,0.149558996,0.15229101,0.132897866,0.127297604,0.147917425,0.138538739,0.123713842,0.113092833,0.142590073,0.137667613,0.129742604,0.164517693,0.243489248,0.188885068,0.335569992,0.297381824,0.368963232,0.359615785,0.363953904,0.395952439,0.413961515,0.399981746,0.157781085,0.220931905,0.250641084,0.212656134,0.31301203,0.344815886
0,0.116315943,0.139348245,0.14928094,0.172533051,0.12300666,0.168785395,0.109286661,0.122148278,0.07912204,0.064188497,0.143846649,0.139374196,0.128963937,0.138536874,0.113198836,0.074041819,0.153418286,0.17208902,0.245924685,0.259355138,0.335378516,0.292634944,0.401331477,0.347718104,0.343500025,0.323004022,0.078435751,0.138581156,0.160003515,0.265359647,0.359400236,0.397745192
0,0.19975674,0.271412965,0.26518735,0.274672757,0.248519541,0.220704457,0.231932708,0.170092201,0.229587924,0.176637058,0.22851994,0.284078994,0.276414068,0.297297305,0.284062112,0.253550891,0.128291882,0.097174619,0.161261761,0.130037318,0.173413185,0.160913964,0.143673229,0.185014876,0.108291747,0.148107143,0.109505482,0.103012611,0.125771163,0.125382061,0.094772934,0.113985374
0,0.039510994,0.055998469,0.061441031,0.077534287,0.083547184,0.087088171,0.056784405,0.052551438,0.045451742,0.031121029,0.073102078,0.081866786,0.104153406,0.10185819,0.056744517,0.057145279,0.200448085,0.266774627,0.267158237,0.384546733,0.30931061,0.377888017,0.333496428,0.281965797,0.260696795,0.167244405,0.136037048,0.18294246,0.239170673,0.266633746,0.302720301,0.26443398
0,0.168849472,0.173662628,0.168876784,0.202590905,0.207006134,0.180575548,0.201749018,0.166470179,0.174707781,0.188751525,0.203564164,0.222802173,0.194027594,0.218103145,0.171790971,0.179647922,0.154769262,0.122839316,0.161517905,0.157240681,0.196955613,0.160443611,0.230167183,0.204033433,0.131134605,0.133596068,0.12817928,0.169687342,0.211985947,0.104842804,0.171968067,0.097656583
0,0.054711669,0.041757201,0.049009161,0.066491612,0.080424625,0.092439274,0.080256448,0.105980327,0.029801711,0.033469825,0.064234775,0.059834243,0.084649901,0.106150588,0.069828602,0.057988001,0.088906482,0.091658383,0.101473299,0.143517489,0.195699575,0.21248433,0.225281403,0.302026327,0.089868011,0.117024143,0.099271757,0.116289885,0.340486974,0.315455696,0.139740594,0.133236693
0,0.119832701,0.142962484,0.131584339,0.162235471,0.12401491,0.138021907,0.137114846,0.12398833,0.097047699,0.105508632,0.132373477,0.120484058,0.144491207,0.130380664,0.110170512,0.107161772,0.072160623,0.09646183,0.113350525,0.105408904,0.16834163,0.122138603,0.192674833,0.181150875,0.084709084,0.101718574,0.048776259,0.069597796,0.085708262,0.119582877,0.087849305,0.076772407
1,0.132826911,0.13027722,0.133909161,0.139919609,0.12012933,0.143945113,0.109840006,0.140584728,0.124244568,0.1343685,0.137810296,0.131852867,0.145941675,0.121308848,0.155995517,0.137508566,0.183886965,0.1852942,0.191638153,0.175451012,0.181603356,0.175112843,0.204990444,0.18663157,0.188212309,0.194688073,0.171276976,0.191199145,0.168763084,0.230516788,0.247626508,0.184393993
1,0.083769795,0.128732673,0.0878947,0.087308908,0.103889205,0.085754643,0.107141145,0.077588625,0.098502632,0.088121797,0.131027577,0.109732675,0.126023434,0.118828731,0.093695932,0.07755521,0.21513497,0.233339358,0.25003345,0.233188547,0.281977396,0.287369319,0.321532947,0.382860015,0.204998709,0.224607716,0.157510509,0.217917011,0.280952771,0.352069856,0.208529778,0.233196919
1,0.135697874,0.157045636,0.127981827,0.133353174,0.1097031,0.095968161,0.121411894,0.100938833,0.099414836,0.097347913,0.1302568,0.166874339,0.149321334,0.128668113,0.133870879,0.08222845,0.149306978,0.159474429,0.121664882,0.154218568,0.161376181,0.194309554,0.190519537,0.200481066,0.11118938,0.120077762,0.120390618,0.172803708,0.188114536,0.21103182,0.177275264,0.132194479
